root	infinitive	preverb	elsewhere_vi	before_d_vi	causative	d_surface	formal_present_source	formal_past_source	source
شکاف	شکافتن		شکاف	شکاف		ت	شکاف	شکافت	shekar
شکن	شکستن		شکن	شکس		ت	شکن	شکست	shekar
شکوف	شکفتن		شکوف	شکف		ت	شکوف	شکفت	shekar
طلب	طلبیدن		طلب	طلبی		د	طلب	طلبید	shekar
طپ	طپیدن		طپ	طپی		د	طپ	طپید	shekar
غرقان	غرقاندن		غرقان	غرقان		د	غرقان	غرقاند	shekar
غر	غریدن		غر	غری		د	غر	غرید	shekar
غلت	غلتاندن		غلت	غلت	ان	د	غلتان	غلتاند	shekar
غلت	غلتیدن		غلت	غلتی		د	غلت	غلتید	shekar
غلط	غلطاندن		غلط	غلط	ان	د	غلطان	غلطاند	shekar
غلط	غلطیدن		غلط	غلطی		د	غلط	غلطید	shekar
خوان	فراخواندن	فرا	خوان	خوان		د	فراخوان	فراخواند	shekar
رس	فرارسیدن	فرا	رس	رسی		د	فرارس	فرارسید	shekar
گیر	فراگرفتن	فرا	گیر	گرف		ت	فراگیر	فراگرفت	shekar
فرست	فرستادن		فرست	فرستا		د	فرست	فرستاد	shekar
فرسا	فرسودن		فرسا	فرسو		د	فرسا	فرسود	shekar
فرسای	فرسودن		فرسای	فرسو		د	فرسای	فرسود	shekar
فرما	فرمودن		فرما	فرمو		د	فرما	فرمود	shekar
بر	فروبردن	فرو	بر	بر		د	فروبر	فروبرد	shekar
فروش	فروختن		فروش	فروخ		ت	فروش	فروخت	shekar
خور	فروخوردن	فرو	خور	خور		د	فروخور	فروخورد	shekar
ده	فرودادن	فرو	ده	دا		د	فروده	فروداد	shekar
رو	فرورفتن	فرو	رو	رف		ت	فرورو	فرورفت	shekar
فروز	فروزاندن		فروز	فروزان		د	فروز	فروزاند	shekar
فروز	فروزاندن		فروز	فروز	ان	د	فروزان	فروزاند	shekar
مان	فروماندن	فرو	مان	مان		د	فرومان	فروماند	shekar
پاش	فروپاشاندن	فرو	پاش	پاش	ان	د	فروپاشان	فروپاشاند	shekar
پاش	فروپاشیدن	فرو	پاش	پاشی		د	فروپاش	فروپاشید	shekar
کن	فروکردن	فرو	کن	کر		د	فروکن	فروکرد	shekar
گذار	فروگذاشتن	فرو	گذار	گذاش		ت	فروگذار	فروگذاشت	shekar
فریب	فریفتن		فریب	فریف		ت	فریب	فریفت	shekar
فشار	فشردن		فشار	فشر		د	فشار	فشرد	shekar
فهم	فهماندن		فهم	فهم	ان	د	فهمان	فهماند	shekar
فهم	فهمیدن		فهم	فهمی		د	فهم	فهمید	shekar
قاپ	قاپیدن		قاپ	قاپی		د	قاپ	قاپید	shekar
قبولان	قبولاندن		قبولان	قبولان		د	قبولان	قبولاند	shekar
لرز	لرزاندن		لرز	لرز	ان	د	لرزان	لرزاند	shekar
لرز	لرزیدن		لرز	لرزی		د	لرز	لرزید	shekar
لغز	لغزاندن		لغز	لغز	ان	د	لغزان	لغزاند	shekar
لغز	لغزیدن		لغز	لغزی		د	لغز	لغزید	shekar
لمبان	لمباندن		لمبان	لمبان		د	لمبان	لمباند	shekar
لنگ	لنگیدن		لنگ	لنگی		د	لنگ	لنگید	shekar
لیس	لیسیدن		لیس	لیسی		د	لیس	لیسید	shekar
ماس	ماسیدن		ماس	ماسی		د	ماس	ماسید	shekar
مال	مالاندن		مال	مال	ان	د	مالان	مالاند	shekar
مال	مالیدن		مال	مالی		د	مال	مالید	shekar
مان	ماندن		مان	مان		د	مان	ماند	shekar
مک	مکیدن		مک	مکی		د	مک	مکید	shekar
نال	نالیدن		نال	نالی		د	نال	نالید	shekar
نشین	نشاندن		نش	نش	ان	د	نشان	نشاند	shekar
نشین	نشستن		نشین	نشس		ت	نشین	نشست	shekar
نما	نمایاندن		نما	نمایان		د	نما	نمایاند	shekar
نما	نمودن		نما	نمو		د	نما	نمود	shekar
نه	نهادن		نه	نها		د	نه	نهاد	shekar
نواز	نواختن		نواز	نواخ		ت	نواز	نواخت	shekar
نوش	نوشاندن		نوش	نوش	ان	د	نوشان	نوشاند	shekar
نویس	نوشتن		نویس	نوش		ت	نویس	نوشت	shekar
نوش	نوشیدن		نوش	نوشی		د	نوش	نوشید	shekar
نگار	نگاشتن		نگار	نگاش		ت	نگار	نگاشت	shekar
نگر	نگریستن		نگر	نگریس		ت	نگر	نگریست	shekar
هراس	هراساندن		هراس	هراس	ان	د	هراسان	هراساند	shekar
هراس	هراسیدن		هراس	هراسی		د	هراس	هراسید	shekar
خواه	واخواستن	وا	خواه	خواس		ت	واخواه	واخواست	shekar
خور	واخوردن	وا	خور	خور		د	واخور	واخورد	shekar
ده	وادادن	وا	ده	دا		د	واده	واداد	shekar
دار	واداشتن	وا	دار	داش		ت	وادار	واداشت	shekar
رو	وارفتن	وا	رو	رف		ت	وارو	وارفت	shekar
گذار	واگذاشتن	وا	گذار	گذاش		ت	واگذار	واگذاشت	shekar
آی	ورآمدن	ور	آ	آم		د	ورآ	ورآمد	shekar
افت	ورافتادن	ور	افت	افتا		د	ورافت	ورافتاد	shekar
رو	وررفتن	ور	رو	رف		ت	وررو	وررفت	shekar
ورز	ورزیدن		ورز	ورزی		د	ورز	ورزید	shekar
وز	وزاندن		وز	وز	ان	د	وزان	وزاند	shekar
وز	وزیدن		وز	وزی		د	وز	وزید	shekar
پاش	پاشاندن		پاش	پاش	ان	د	پاشان	پاشاند	shekar
پاش	پاشیدن		پاش	پاشی		د	پاش	پاشید	shekar
پا	پاییدن		پا	پایی		د	پا	پایید	shekar
پز	پختن		پز	پخ		ت	پز	پخت	shekar
پذیر	پذیرفتن		پذیر	پذیرف		ت	پذیر	پذیرفت	shekar
پر	پراندن		پر	پر	ان	د	پران	پراند	shekar
پراکن	پراکندن		پراکن	پراکن		د	پراکن	پراکند	shekar
پرداز	پرداختن		پرداز	پرداخ		ت	پرداز	پرداخت	shekar
پرست	پرستیدن		پرست	پرستی		د	پرست	پرستید	shekar
پرس	پرسیدن		پرس	پرسی		د	پرس	پرسید	shekar
پرهیز	پرهیزیدن		پرهیز	پرهیزی		د	پرهیز	پرهیزید	shekar
پرور	پروراندن		پرور	پرور	ان	د	پروران	پروراند	shekar
پرور	پروردن		پرور	پرور		د	پرور	پرورد	shekar
پرور	پروریدن		پرور	پروری		د	پرور	پرورید	shekar
پر	پریدن		پر	پری		د	پر	پرید	shekar
افت	پس‌افتادن	پس‌	افت	افتا		د	پس‌افت	پس‌افتاد	shekar
انداز	پس‌انداختن	پس‌	انداز	انداخ		ت	پس‌انداز	پس‌انداخت	shekar
ده	پس‌دادن	پس‌	ده	دا		د	پس‌ده	پس‌داد	shekar
گیر	پس‌گرفتن	پس‌	گیر	گرف		ت	پس‌گیر	پس‌گرفت	shekar
پندار	پنداشتن		پندار	پنداش		ت	پندار	پنداشت	shekar
پوس	پوساندن		پوس	پوس	ان	د	پوسان	پوساند	shekar
پوس	پوسیدن		پوس	پوسی		د	پوس	پوسید	shekar
پوش	پوشاندن		پوش	پوش	ان	د	پوشان	پوشاند	shekar
پوش	پوشیدن		پوش	پوشی		د	پوش	پوشید	shekar
پوی	پوییدن		پوی	پویی		د	پوی	پویید	shekar
پژمر	پژمردن		پژمر	پژمر		د	پژمر	پژمرد	shekar
پژوه	پژوهیدن		پژوه	پژوهی		د	پژوه	پژوهید	shekar
افت	پیش‌افتادن	پیش‌	افت	افتا		د	پیش‌افت	پیش‌افتاد	shekar
انداز	پیش‌انداختن	پیش‌	انداز	انداخ		ت	پیش‌انداز	پیش‌انداخت	shekar
گیر	پیش‌گرفتن	پیش‌	گیر	گرف		ت	پیش‌گیر	پیش‌گرفت	shekar
پیما	پیمودن		پیما	پیمو		د	پیما	پیمود	shekar
پیوند	پیوستن		پیوند	پیوس		ت	پیوند	پیوست	shekar
پیچ	پیچاندن		پیچ	پیچ	ان	د	پیچان	پیچاند	shekar
پیچ	پیچیدن		پیچ	پیچی		د	پیچ	پیچید	shekar
چر	چراندن		چر	چر	ان	د	چران	چراند	shekar
چرخ	چرخاندن		چرخ	چرخ	ان	د	چرخان	چرخاند	shekar
چرخ	چرخیدن		چرخ	چرخی		د	چرخ	چرخید	shekar
چر	چریدن		چر	چری		د	چر	چرید	shekar
چسب	چسباندن		چسب	چسب	ان	د	چسبان	چسباند	shekar
چسب	چسبیدن		چسب	چسبی		د	چسب	چسبید	shekar
چس	چسیدن		چس	چسی		د	چس	چسید	shekar
چش	چشاندن		چش	چش	ان	د	چشان	چشاند	shekar
چش	چشیدن		چش	چشی		د	چش	چشید	shekar
چلان	چلاندن		چلان	چلان		د	چلان	چلاند	shekar
چپان	چپاندن		چپان	چپان		د	چپان	چپاند	shekar
چک	چکاندن		چک	چک	ان	د	چکان	چکاند	shekar
چک	چکیدن		چک	چکی		د	چک	چکید	shekar
چین	چیدن		چین	چی		د	چین	چید	shekar
کاه	کاستن		کاه	کاس		ت	کاه	کاست	shekar
کار	کاشتن		کار	کاش		ت	کار	کاشت	shekar
کاو	کاویدن		کاو	کاوی		د	کاو	کاوید	shekar
کن	کردن		کن	کر		د	کن	کرد	shekar
کش	کشاندن		کش	کش	ان	د	کشان	کشاند	shekar
کش	کشتن		کش	کش		ت	کش	کشت	shekar
کش	کشیدن		کش	کشی		د	کش	کشید	shekar
کوب	کوباندن		کوب	کوب	ان	د	کوبان	کوباند	shekar
کوب	کوبیدن		کوب	کوبی		د	کوب	کوبید	shekar
کوش	کوشیدن		کوش	کوشی		د	کوش	کوشید	shekar
گا	گاییدن		گا	گایی		د	گا	گایید	shekar
گداز	گداختن		گداز	گداخ		ت	گداز	گداخت	shekar
گذار	گذاشتن		گذار	گذاش		ت	گذار	گذاشت	shekar
گذر	گذراندن		گذر	گذر	ان	د	گذران	گذراند	shekar
گذر	گذشتن		گذر	گذش		ت	گذر	گذشت	shekar
گرا	گراییدن		گرا	گرایی		د	گرا	گرایید	shekar
گرد	گرداندن		گرد	گرد	ان	د	گردان	گرداند	shekar
گیر	گرفتن		گیر	گرف		ت	گیر	گرفت	shekar
گرو	گرویدن		گرو	گروی		د	گرو	گروید	shekar
گری	گریاندن		گری	گری	ان	د	گریان	گریاند	shekar
گریز	گریختن		گریز	گریخ		ت	گریز	گریخت	shekar
گری	گریستن		گری	گریس		ت	گری	گریست	shekar
گزار	گزاردن		گزار	گزار		د	گزار	گزارد	shekar
گز	گزیدن		گز	گزی		د	گز	گزید	shekar
گزین	گزیدن		گزین	گزی		د	گزین	گزید	shekar
گسل	گسستن		گسل	گسس		ت	گسل	گسست	shekar
گسل	گسیختن		گسل	گسیخ		ت	گسل	گسیخت	shekar
گرد	گشتن		گرد	گش		ت	گرد	گشت	shekar
گشا	گشودن		گشا	گشو		د	گشا	گشود	shekar
گو	گفتن		گو	گف		ت	گو	گفت	shekar
گوی	گفتن		گوی	گف		ت	گوی	گفت	shekar
گنجا	گنجاندن		گنجا	گنجان		د	گنجا	گنجاند	shekar
گنج	گنجیدن		گنج	گنجی		د	گنج	گنجید	shekar
یاب	یافتن		یاب	یاف		ت	یاب	یافت	shekar
